dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-10,118,30,18,4.0,0.9333333333333332,0.932154882154882,0.1559761559543587,3.1877670288085938,6.607423305511475,ok,
OpenML-ID-1493,1279,320,64,100.0,0.890625,0.8840203373015871,0.4985547615745764,0.7073278427124023,5.123374223709106,ok,
OpenML-ID-41150,104051,26013,50,2.0,0.942451850997578,0.9425693331383704,0.1465361473453875,2.1493818759918213,205.9880621433258,ok,
OpenML-ID-1067,1687,422,21,2.0,0.8744075829383886,0.8507473154099917,0.2972196908366015,3.1523687839508057,7.169135808944702,ok,
OpenML-ID-1494,844,211,41,2.0,0.8862559241706162,0.8854084739220404,0.2970509919447607,0.6794064044952393,0.6242351531982422,ok,
OpenML-ID-1567,820007,205002,10,10.0,0.5682042126418279,0.5458196246930278,,4.087515830993652,10081.622005939484,ok,
OpenML-ID-11,500,125,4,3.0,0.992,0.9921550779603876,0.0554130752900695,3.111546277999878,6.6657326221466064,ok,
OpenML-ID-1486,27572,6893,118,2.0,0.9646017699115044,0.9645527895727984,0.0962793394025817,1.7591946125030518,48.35018491744995,ok,
OpenML-ID-43945,30779,7695,8,2.0,0.8518518518518519,0.8518299765919706,0.3260379469511366,0.5331571102142334,21.201541662216187,ok,
OpenML-ID-43973,2537,635,5,2.0,0.8834645669291339,0.8830120066469597,0.2550434260976339,0.3987033367156982,0.5827341079711914,ok,
OpenML-ID-4538,7898,1975,32,5.0,0.7169620253164557,0.7100311357321423,0.7380453904075572,0.6305727958679199,4.025928735733032,ok,
OpenML-ID-46,2552,638,60,3.0,0.8855799373040752,0.8853076228047682,0.2757671943672456,0.4408133029937744,1.8684413433074951,ok,
OpenML-ID-470,537,135,9,2.0,0.6888888888888889,0.6395781637717122,0.6185341794831699,0.4233784675598144,0.2982020378112793,ok,
OpenML-ID-54,676,170,18,4.0,0.8705882352941177,0.8689678536610859,0.2916869365536123,0.4464590549468994,0.3834197521209717,ok,
OpenML-ID-846,13279,3320,18,2.0,0.9,0.8976759453781512,0.2450914640758794,0.4962077140808105,6.5886993408203125,ok,
OpenML-ID-934,924,232,5,2.0,0.9396551724137931,0.9377396839245704,0.1469143143234483,0.3933069705963135,0.2684509754180908,ok,
OpenML-ID-999,180,46,69,2.0,0.9565217391304348,0.9551665725578768,0.0891019672885717,0.4065001010894775,0.3289446830749511,ok,
OpenML-ID-1169,431506,107877,7,2.0,0.6388015981163733,0.6230267572673475,,4.119711875915527,2373.2916135787964,ok,
OpenML-ID-14,1600,400,76,10.0,0.8925,0.8914332770823257,0.3059394066480801,3.2009973526000977,7.689455270767212,ok,
OpenML-ID-1565,235,59,13,5.0,0.711864406779661,0.6711729889695991,0.7593287384802776,0.6779553890228271,0.226994514465332,ok,
OpenML-ID-23512,78440,19610,28,2.0,0.7185109637939827,0.7181847370203425,0.5433304952803601,1.577751874923706,113.9415328502655,ok,
OpenML-ID-1468,0,0,0,,,,,0.0,0.0,fail,"OutOfMemoryError: HIP out of memory. Tried to allocate 38.46 GiB. GPU 0 has a total capacity of 63.98 GiB of which 34.16 GiB is free. Of the allocated memory 22.51 GiB is allocated by PyTorch, and 6.10 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
OpenML-ID-29,552,138,15,2.0,0.8188405797101449,0.819441424326005,0.4446439712769997,0.6440799236297607,0.3790562152862549,ok,
OpenML-ID-40981,552,138,14,2.0,0.8333333333333334,0.8336748095613343,0.3623299875499757,0.5146245956420898,0.328165054321289,ok,
OpenML-ID-41147,0,0,0,,,,,0.0,0.0,fail,RuntimeError: CUDA error: HIPBLAS_STATUS_NOT_SUPPORTED when calling `HIPBLAS_STATUS_NOT_SUPPORTED`
OpenML-ID-1459,8174,2044,7,10.0,0.7392367906066536,0.7377113601953674,0.5735144203775345,3.1040079593658447,9.481387376785278,ok,
OpenML-ID-27,294,74,22,2.0,0.8513513513513513,0.8454329619275901,0.4532026497280679,0.6508727073669434,0.2626841068267822,ok,
OpenML-ID-333,444,112,6,2.0,1.0,1.0,0.0083311453447753,0.4402153491973877,0.2006011009216308,ok,
OpenML-ID-41027,35855,8964,6,3.0,0.8504016064257028,0.8489318198387908,0.2544886515282392,0.5113677978515625,26.51623606681824,ok,
OpenML-ID-4134,3000,751,1776,2.0,0.7643142476697736,0.7638971084816286,0.4817605704648752,4.105064153671265,171.33272671699524,ok,
OpenML-ID-1043,3649,913,48,2.0,0.8389923329682366,0.8330161970237632,0.3455508789334949,3.1645758152008057,8.507834434509277,ok,
OpenML-ID-22,1600,400,47,10.0,0.82,0.8164164201310345,0.286748186045634,0.6584763526916504,1.0441508293151855,ok,
OpenML-ID-31,800,200,20,2.0,0.725,0.7101761956130888,0.5031673670307497,0.4266149997711181,0.4357242584228515,ok,
OpenML-ID-41143,2387,597,144,2.0,0.8157453936348409,0.8124198781330595,0.4087467023518905,0.5504097938537598,4.447739362716675,ok,
OpenML-ID-41159,16000,4000,4296,2.0,0.8345,0.8310073553007692,0.3811430234391566,31.63723206520081,10761.628959178925,ok,
