dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1049,1166,292,37,2.0,0.9041095890410958,0.8956185297500784,0.21768898751656476,3.2183873653411865,6.8569865226745605,ok,
OpenML-ID-1464,598,150,4,2.0,0.7933333333333333,0.7725189517002383,0.4714662275313617,0.6514911651611328,0.15407609939575195,ok,
OpenML-ID-1480,466,117,10,2.0,0.6666666666666666,0.639377010326731,0.5436682109705382,0.44909167289733887,0.2917368412017822,ok,
OpenML-ID-1485,0,0,0,,,,,0.0,0.0,fail,"OutOfMemoryError: HIP out of memory. Tried to allocate 39.99 GiB. GPU 0 has a total capacity of 63.98 GiB of which 11.29 GiB is free. Of the allocated memory 35.52 GiB is allocated by PyTorch, and 15.93 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
OpenML-ID-1497,4364,1092,24,4.0,0.9578754578754579,0.9578592644247846,0.12001419672363137,0.6319580078125,1.9367878437042236,ok,
OpenML-ID-18,1600,400,6,10.0,0.755,0.7509940393656891,0.5045564414572756,0.49584197998046875,0.5720396041870117,ok,
OpenML-ID-188,588,148,19,5.0,0.7297297297297297,0.7267037205870777,0.5948472850468628,0.5030858516693115,0.3601555824279785,ok,
OpenML-ID-22,1600,400,47,10.0,0.83,0.8263299479412075,0.29209835723273087,0.4901907444000244,1.0412909984588623,ok,
OpenML-ID-23381,400,100,12,2.0,0.61,0.5036462244472257,0.6736859543820625,0.4527013301849365,0.27631187438964844,ok,
OpenML-ID-28,4496,1124,64,10.0,0.9937722419928826,0.9937680591755651,0.027460726999527105,0.5711803436279297,3.248929500579834,ok,
OpenML-ID-307,792,198,12,11.0,0.9797979797979798,0.9797823797823797,0.07572843967065013,0.5050351619720459,1.5635035037994385,ok,
OpenML-ID-31,800,200,20,2.0,0.72,0.7013333333333334,0.4904711218201636,0.46101951599121094,0.433896541595459,ok,
OpenML-ID-32,8793,2199,16,10.0,0.9954524783992724,0.9954533233800358,0.01623833277173686,0.49985599517822266,3.8903770446777344,ok,
OpenML-ID-37,614,154,8,2.0,0.7662337662337663,0.7613786213786214,0.5152238666734761,0.5711302757263184,0.31003737449645996,ok,
OpenML-ID-38,3017,755,28,2.0,0.9920529801324504,0.9919702764045643,0.025756395556516723,0.4819521903991699,1.404477596282959,ok,
OpenML-ID-40499,4400,1100,40,11.0,1.0,1.0,0.0031855972456552454,0.5174038410186768,5.367522716522217,ok,
OpenML-ID-40670,2548,638,180,3.0,0.9529780564263323,0.9531545284233294,0.1374577710220646,0.6668496131896973,7.585400819778442,ok,
OpenML-ID-40966,864,216,77,8.0,0.9907407407407407,0.9907435941334247,0.02782049295972028,0.5555942058563232,0.904268741607666,ok,
OpenML-ID-40975,1382,346,6,4.0,0.9971098265895953,0.9971502121544917,0.029220889664983103,0.6242001056671143,0.5169661045074463,ok,
OpenML-ID-40978,2623,656,1558,2.0,0.9405487804878049,0.9365194700074119,0.15047061125479866,3.5687265396118164,199.80147290229797,ok,
