dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1050,1250,313,37,2.0,0.8977635782747604,0.8650482893678743,0.26386473178823944,3.261648654937744,6.851460695266724,ok,
OpenML-ID-1468,0,0,0,,,,,0.0,0.0,fail,"OutOfMemoryError: HIP out of memory. Tried to allocate 38.46 GiB. GPU 0 has a total capacity of 63.98 GiB of which 34.13 GiB is free. Of the allocated memory 22.51 GiB is allocated by PyTorch, and 6.10 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
OpenML-ID-15,559,140,9,2.0,0.9571428571428572,0.9573446961202065,0.10735613367293438,0.4489729404449463,0.31404876708984375,ok,
OpenML-ID-1510,455,114,30,2.0,0.9824561403508771,0.9823623542652152,0.05083193686538661,0.6378810405731201,0.3663825988769531,ok,
OpenML-ID-16,1600,400,64,10.0,0.975,0.9749577090091138,0.11606298754353396,0.5026285648345947,1.2227325439453125,ok,
OpenML-ID-182,5144,1286,36,6.0,0.9230171073094868,0.9205027305925522,0.1854121286560604,0.48494887351989746,2.7931973934173584,ok,
OpenML-ID-29,552,138,15,2.0,0.8043478260869565,0.8049967382720853,0.44701287707056825,0.4010739326477051,0.33410120010375977,ok,
OpenML-ID-3,2556,640,36,2.0,0.9796875,0.9796860589002321,0.05725962348760176,0.42644524574279785,1.409630298614502,ok,
OpenML-ID-300,6237,1560,617,26.0,0.8307692307692308,0.8289393318280933,0.4980696036051604,2.3065061569213867,84.38838696479797,ok,
OpenML-ID-44,3680,921,57,2.0,0.9370249728555917,0.9366497097599652,0.15583401644496225,0.4844546318054199,3.5386104583740234,ok,
OpenML-ID-4534,8844,2211,30,2.0,0.979194934418815,0.9791740177284344,0.05279342910708979,0.513948917388916,4.687178373336792,ok,
OpenML-ID-4538,7898,1975,32,5.0,0.7169620253164557,0.7100311357321423,0.7380453904075572,0.5239353179931641,4.044900894165039,ok,
OpenML-ID-458,672,169,70,4.0,0.9704142011834319,0.9705175166713629,0.10163596063239114,0.5765471458435059,0.7270653247833252,ok,
OpenML-ID-469,637,160,4,6.0,0.2,0.16529596133813224,1.7745586384338714,0.38625502586364746,0.3101656436920166,ok,
OpenML-ID-50,766,192,9,2.0,0.9739583333333334,0.9737089603283174,0.05148992438740451,0.3730025291442871,0.37238264083862305,ok,
OpenML-ID-54,676,170,18,4.0,0.8705882352941177,0.8689678536610859,0.2916869365536123,0.39453125,0.3881826400756836,ok,
OpenML-ID-554,56000,14000,784,10.0,0.9395714285714286,0.9395003339187665,0.19707442985551288,16.78248143196106,2007.892033815384,ok,
