dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
BNG(tic-tac-toe),31492,7874,9,2,0.7967995935991872,0.7927063323937841,0.43411522883606324,3.422433376312256,32.51557803153992,ok,
FOREX_audcad-hour-High,35060,8765,10,2,0.6085567598402738,0.6066476339196761,0.6548813093993352,0.7929408550262451,26.81762194633484,ok,
FOREX_cadjpy-day-High,1467,367,10,2,0.7138964577656676,0.713509293789203,0.5649777069350075,0.4766230583190918,0.6047818660736084,ok,
FOREX_cadjpy-hour-High,35060,8765,10,2,0.5333713633770679,0.48535217081034554,0.6881909056758349,0.6191322803497314,26.873528718948364,ok,
Pima_Indians_Diabetes_Database,614,154,8,2,0.7467532467532467,0.7371540246262263,0.45485352066276213,0.6070733070373535,0.31305837631225586,ok,
Pumpkin_Seeds,2000,500,12,2,0.878,0.8777425384383479,0.2995625083108522,0.4391975402832031,0.8002068996429443,ok,
SDSS17,80000,20000,12,3,0.97195,0.9718113586662843,0.0895718421488435,0.8225724697113037,111.51274752616882,ok,
default_of_credit_card_clients,24000,6000,23,2,0.8251666666666667,0.805507487831753,0.4198112089547331,0.6569921970367432,16.222692728042603,ok,
delta_ailerons,5703,1426,5,2,0.9481065918653576,0.9480971614154673,0.16729749783990025,0.4122481346130371,1.2903234958648682,ok,
dis,3017,755,29,2,0.9854304635761589,0.9811034574409179,0.05809373547219115,0.43459224700927734,1.4146924018859863,ok,
dna,2548,638,180,3,0.9529780564263323,0.9531545284233294,0.13754974358739208,0.6285092830657959,7.62620735168457,ok,
drug_consumption,1507,377,12,7,0.40318302387267907,0.23169686059980046,1.5113171490961208,0.4490647315979004,0.6292126178741455,ok,
dry_bean_dataset,10888,2723,16,7,0.9287550495776716,0.928805122286182,0.1863951456715848,0.5247650146484375,5.157580852508545,ok,
eeg-eye-state,11984,2996,14,2,0.9819759679572764,0.9819695512251247,0.06198117788642363,0.6183567047119141,5.681227922439575,ok,
electricity,36249,9063,8,2,0.8715657067196293,0.8712633524595126,0.29101989864178984,0.5591905117034912,27.523658514022827,ok,
estimation_of_obesity_levels,1688,423,16,7,0.9645390070921985,0.9645835000428578,0.0948463626417765,0.41725635528564453,0.743828296661377,ok,
eye_movements,8748,2188,27,3,0.6279707495429616,0.6276800506654812,0.7834142747981636,0.5226309299468994,4.476586103439331,ok,
eye_movements_bin,6086,1522,20,2,0.59526938239159,0.5948321163845558,0.6652030239428137,0.45510029792785645,2.6011385917663574,ok,
gas-drift,11128,2782,128,6,0.9949676491732566,0.9949681616349979,0.02156139957082265,1.1138434410095215,18.36441445350647,ok,
golf_play_dataset_extended,876,219,9,2,0.9178082191780822,0.9178082191780822,0.16951907144924463,0.4610254764556885,0.41356635093688965,ok,
heloc,8000,2000,22,2,0.7185,0.7181447919740853,0.5508087311183638,0.525439977645874,3.7023372650146484,ok,
hill-valley,969,243,100,2,0.5473251028806584,0.5467723862785592,0.6882902498088207,0.4709649085998535,1.1781785488128662,ok,
house_16H,10790,2698,16,2,0.8869532987398072,0.8869498043612984,0.27524963442963757,0.6451418399810791,5.092591762542725,ok,
ibm-employee-performance,1176,294,30,2,0.9081632653061225,0.9015789913189969,0.21531471604591987,0.44301652908325195,0.6877107620239258,ok,
in_vehicle_coupon_recommendation,10147,2537,21,2,0.7114702404414663,0.7086456820019043,0.554206450291341,0.5236623287200928,4.91223669052124,ok,
internet_usage,8086,2022,70,46,0.42334322453016815,0.3093154698068253,2.0079595396439185,0.6574842929840088,12.754567384719849,ok,
jm1,8708,2177,21,2,0.8203950390445567,0.7775200469569497,0.4283942980939795,0.4743924140930176,4.10240364074707,ok,
kc1,1687,422,21,2,0.8744075829383886,0.8507473154099917,0.29798268315349447,0.4189891815185547,0.7896251678466797,ok,
