dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1067,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-14,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-1486,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading file data/145: file read failed
OpenML-ID-1565,235,59,13,5.0,0.711864406779661,0.6711729889695991,0.7593287384802776,3.996210813522339,5.66744327545166,ok,
OpenML-ID-1567,820007,205002,10,10.0,0.5682042126418279,0.5458196246930278,,4.181938171386719,10224.567442417145,ok,
OpenML-ID-10,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-11,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-1169,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-1459,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-1468,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading file data/145: file read failed
OpenML-ID-1493,1279,320,64,100.0,0.890625,0.8840203373015871,0.4985547615745764,4.133571147918701,10.315199613571169,ok,
OpenML-ID-27,294,74,22,2.0,0.8513513513513513,0.8454329619275901,0.4532026497280679,0.6222965717315674,0.2628717422485351,ok,
OpenML-ID-29,552,138,15,2.0,0.8188405797101449,0.819441424326005,0.4446439712769997,0.4127886295318603,0.3322896957397461,ok,
OpenML-ID-31,800,200,20,2.0,0.725,0.7101761956130888,0.5031673670307497,0.512127161026001,0.4316356182098388,ok,
OpenML-ID-333,444,112,6,2.0,1.0,1.0,0.0083311453447753,0.3673481941223144,0.198359727859497,ok,
OpenML-ID-40981,552,138,14,2.0,0.8333333333333334,0.8336748095613343,0.3623299875499757,0.3656103610992431,0.3235630989074707,ok,
OpenML-ID-41027,35855,8964,6,3.0,0.8504016064257028,0.8489318198387908,0.2544886515189897,0.4595990180969238,26.57458019256592,ok,
OpenML-ID-41143,2387,597,144,2.0,0.8157453936348409,0.8124198781330595,0.4087467023518905,0.5213406085968018,4.454195976257324,ok,
OpenML-ID-41147,0,0,0,,,,,0.0,0.0,fail,RuntimeError: CUDA error: HIPBLAS_STATUS_NOT_SUPPORTED when calling `HIPBLAS_STATUS_NOT_SUPPORTED`
OpenML-ID-4134,3000,751,1776,2.0,0.7643142476697736,0.7638971084816286,0.4817422923713813,3.927314519882202,168.97317743301392,ok,
OpenML-ID-43945,30779,7695,8,2.0,0.8518518518518519,0.8518299765919706,0.3260379469511366,0.5172510147094727,21.183210849761963,ok,
OpenML-ID-43973,2537,635,5,2.0,0.8834645669291339,0.8830120066469597,0.2550434260976339,0.3551802635192871,0.5891542434692383,ok,
OpenML-ID-4538,7898,1975,32,5.0,0.7169620253164557,0.7100311357321423,0.7380453904075572,0.4714095592498779,4.040738582611084,ok,
OpenML-ID-46,2552,638,60,3.0,0.8855799373040752,0.8853076228047682,0.2757671943672456,0.433119535446167,2.1576719284057617,ok,
OpenML-ID-470,537,135,9,2.0,0.6888888888888889,0.6395781637717122,0.6185341794831699,0.5228135585784912,1.3768360614776611,ok,
OpenML-ID-54,676,170,18,4.0,0.8705882352941177,0.8689678536610859,0.2916869365536123,0.5653529167175293,1.6604115962982178,ok,
OpenML-ID-846,13279,3320,18,2.0,0.9,0.8976759453781512,0.2450914640758794,0.5231912136077881,13.769132375717165,ok,
OpenML-ID-934,924,232,5,2.0,0.9396551724137931,0.9377396839245704,0.1469143143234483,0.3591001033782959,0.5937197208404541,ok,
OpenML-ID-999,180,46,69,2.0,0.9565217391304348,0.9551665725578768,0.0891019672885717,0.4257230758666992,0.8210842609405518,ok,
OpenML-ID-1043,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading file data/145: file read failed
OpenML-ID-1494,844,211,41,2.0,0.8862559241706162,0.8854084739220404,0.2970509919447607,4.021926403045654,6.005267858505249,ok,
OpenML-ID-22,1600,400,47,10.0,0.82,0.8164164201310345,0.286748186045634,0.6637356281280518,1.0505990982055664,ok,
OpenML-ID-23512,78440,19610,28,2.0,0.7185109637939827,0.7181847370203425,0.5433304952803601,1.5915095806121826,115.68943357467651,ok,
OpenML-ID-41150,104051,26013,50,2.0,0.942451850997578,0.9425693331383704,0.1465361473453875,2.143989324569702,209.7273552417755,ok,
OpenML-ID-41159,16000,4000,4296,2.0,0.8345,0.8310073553007692,0.3811810960885831,31.16748595237732,11016.098831892014,ok,
