dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
Amazon_employee_access,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
BNG(breast-w),0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
BNG(cmc),0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
BNG(tic-tac-toe),0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
Bank_Customer_Churn_Dataset,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
Basketball_c,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
CDC_Diabetes_Health_Indicators,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading file data/145: file read failed
California-Housing-Classification,16512,4128,8,2.0,0.8921996124031008,0.8921995934245858,0.2498509220219182,4.059510707855225,13.232962369918823,ok,
Credit_c,80000,20000,22,3.0,0.7351,0.7355908143082812,0.6062960542723606,1.5326859951019287,114.15340757369997,ok,
FOREX_audsgd-hour-High,35060,8765,10,2.0,0.5413576725613235,0.5308075891534182,0.6856027071621039,0.6260600090026855,26.403998851776123,ok,
FOREX_cadjpy-day-High,1467,367,10,2.0,0.7138964577656676,0.713509293789203,0.5649777069350075,0.3803098201751709,0.5963377952575684,ok,
FOREX_cadjpy-hour-High,35060,8765,10,2.0,0.5333713633770679,0.4853521708103455,0.6881909056758349,0.6250936985015869,26.41702628135681,ok,
IBM_HR_Analytics_Employee_Attrition_and_Performance,1176,294,31,2.0,0.8571428571428571,0.8427367246240602,0.3615811668957438,0.4463722705841064,0.686286449432373,ok,
INNHotelsGroup,29020,7255,17,2.0,0.8891798759476224,0.8881720059333691,0.2713235359287947,0.6338651180267334,20.296475648880005,ok,
JapaneseVowels,7968,1993,14,9.0,0.997491219267436,0.9974903306450504,0.0074809801794481,0.4700713157653808,3.35510516166687,ok,
KDDCup09_upselling,4102,1026,49,2.0,0.7612085769980507,0.7607483360316604,0.4572027398759426,0.518916130065918,2.5757768154144287,ok,
MIC,1319,330,104,2.0,0.8939393939393939,0.8715381580091356,0.2771795996960303,0.5646812915802002,1.5278096199035645,ok,
Marketing_Campaign,1792,448,27,2.0,0.90625,0.9008580780793866,0.2260177257648868,0.4901762008666992,0.8729932308197021,ok,
Mobile_Price_Classification,1600,400,20,4.0,0.93,0.929904896204764,0.1589117550679504,0.4352200031280517,0.7058217525482178,ok,
National_Health_and_Nutrition_Health_Survey,1822,456,7,2.0,0.831140350877193,0.7829148262823291,0.3806866448420881,0.5205399990081787,0.6146285533905029,ok,
PhishingWebsites,8844,2211,30,2.0,0.9778380823156942,0.9778144735977904,0.0527378389637536,0.508342981338501,4.647205114364624,ok,
PizzaCutter3,834,209,37,2.0,0.8803827751196173,0.8243787817913973,0.2489008146674008,0.4406933784484863,0.587167501449585,ok,
QSAR_biodegradation,843,211,41,2.0,0.8815165876777251,0.8781749648628048,0.2886736211850562,0.4412734508514404,0.6165544986724854,ok,
SDSS17,80000,20000,12,3.0,0.97195,0.9718113586662844,0.0895718421488435,0.8215389251708984,109.23265790939332,ok,
Satellite,4080,1020,36,2.0,0.992156862745098,0.9907463841469554,0.0238216919742509,0.4870579242706299,2.1951229572296143,ok,
Smoking_and_Drinking_Dataset_with_body_signal,793076,198270,23,2.0,0.7389166288394613,0.738890545516502,,10.180200815200806,9839.412167072296,ok,
BLE_RSSI_dataset_for_Indoor_localization,7987,1997,3,3.0,0.7406109163745619,0.7401275504039626,0.582344506605201,13.399659633636476,7.49919056892395,ok,
Cardiovascular-Disease-dataset,56000,14000,11,2.0,0.7329285714285714,0.7327049003374879,0.5453137664886942,0.9347999095916748,59.50244140625,ok,
Diabetic_Retinopathy_Debrecen,920,231,19,2.0,0.7186147186147186,0.7185299400721677,0.4978456239491555,0.4790630340576172,0.4829518795013428,ok,
E-CommereShippingData,8799,2200,10,2.0,0.6740909090909091,0.6648392047081602,0.5104547175102548,0.4643881320953369,3.670149326324463,ok,
Employee,3722,931,8,2.0,0.8464017185821697,0.8387758827740027,0.3598902522998382,0.5916175842285156,1.363495111465454,ok,
FICO-HELOC-cleaned,7896,1975,23,2.0,0.7407594936708861,0.7405374763373452,0.529110717714326,0.5356614589691162,3.680508852005005,ok,
FOREX_audcad-day-High,1467,367,10,2.0,0.7520435967302452,0.7518112983443666,0.5200554805690534,0.4527301788330078,0.6019883155822754,ok,
FOREX_audcad-hour-High,35060,8765,10,2.0,0.6085567598402738,0.6066476339196761,0.6548813093993352,0.6257705688476562,26.64768528938293,ok,
