dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1050,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-1053,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
OpenML-ID-1063,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading file data/145: file read failed
OpenML-ID-1067,1687,422,21,2.0,0.8744075829383886,0.8507473154099917,0.2972196908366015,4.017989873886108,6.174420356750488,ok,
OpenML-ID-12,1600,400,216,10.0,0.9675,0.9673947837768975,0.12762262682054307,0.8220601081848145,4.110802412033081,ok,
OpenML-ID-1462,1097,275,4,2.0,1.0,1.0,2.717950414200847e-05,0.4400210380554199,0.21491503715515137,ok,
OpenML-ID-1464,598,150,4,2.0,0.7933333333333333,0.7725189517002383,0.4714662275313617,0.4226536750793457,0.1500387191772461,ok,
OpenML-ID-1468,0,0,0,,,,,0.0,0.0,fail,"OutOfMemoryError: HIP out of memory. Tried to allocate 38.46 GiB. GPU 0 has a total capacity of 63.98 GiB of which 34.12 GiB is free. Of the allocated memory 22.51 GiB is allocated by PyTorch, and 6.10 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
OpenML-ID-1475,4894,1224,51,6.0,0.6315359477124183,0.609603365188116,1.0888459579189198,0.49566221237182617,3.0665414333343506,ok,
OpenML-ID-1478,8239,2060,561,6.0,0.9718446601941747,0.9718662897918586,0.07824859194288597,2.654365062713623,84.0128161907196,ok,
OpenML-ID-1510,455,114,30,2.0,0.9824561403508771,0.9823623542652152,0.05083193686538661,0.4287383556365967,0.36412978172302246,ok,
OpenML-ID-1590,39073,9769,14,2.0,0.8534138601699253,0.8477633340399913,0.31227512890110637,0.6286838054656982,32.53149962425232,ok,
OpenML-ID-23517,77056,19264,21,2.0,0.5178571428571429,0.5092867466933158,0.6919504022698452,1.0299723148345947,106.87453293800354,ok,
OpenML-ID-40668,54045,13512,42,3.0,0.7731645944345766,0.7241954799706771,0.5758595123998861,1.1704418659210205,65.62689256668091,ok,
OpenML-ID-40927,48000,12000,3072,10.0,0.5208333333333334,0.5143801927467289,1.3580818281159184,75.17705941200256,10446.05262541771,ok,
