dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
Amazon_employee_access,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
BNG(breast-w),0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
BNG(cmc),0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
BNG(tic-tac-toe),0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
Bank_Customer_Churn_Dataset,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
Basketball_c,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading zip archive: failed finding central directory
CDC_Diabetes_Health_Indicators,0,0,0,,,,,0.0,0.0,fail,RuntimeError: PytorchStreamReader failed reading file data/145: file read failed
California-Housing-Classification,16512,4128,8,2.0,0.8921996124031008,0.8921995934245858,0.24985092202191825,4.059510707855225,13.232962369918823,ok,
Credit_c,80000,20000,22,3.0,0.7351,0.7355908143082812,0.6062960542723606,1.5326859951019287,114.15340757369995,ok,
FOREX_audsgd-hour-High,35060,8765,10,2.0,0.5413576725613235,0.5308075891534182,0.6856027071621039,0.6260600090026855,26.403998851776123,ok,
FOREX_cadjpy-day-High,1467,367,10,2.0,0.7138964577656676,0.713509293789203,0.5649777069350075,0.3803098201751709,0.5963377952575684,ok,
FOREX_cadjpy-hour-High,35060,8765,10,2.0,0.5333713633770679,0.48535217081034554,0.6881909056758349,0.6250936985015869,26.41702628135681,ok,
IBM_HR_Analytics_Employee_Attrition_and_Performance,1176,294,31,2.0,0.8571428571428571,0.8427367246240602,0.3615811668957438,0.44637227058410645,0.686286449432373,ok,
INNHotelsGroup,29020,7255,17,2.0,0.8891798759476224,0.8881720059333691,0.27132353592879477,0.6338651180267334,20.296475648880005,ok,
JapaneseVowels,7968,1993,14,9.0,0.997491219267436,0.9974903306450503,0.0074809801794481715,0.47007131576538086,3.35510516166687,ok,
KDDCup09_upselling,4102,1026,49,2.0,0.7612085769980507,0.7607483360316604,0.4572027398759426,0.518916130065918,2.5757768154144287,ok,
MIC,1319,330,104,2.0,0.8939393939393939,0.8715381580091356,0.2771795996960303,0.5646812915802002,1.5278096199035645,ok,
Marketing_Campaign,1792,448,27,2.0,0.90625,0.9008580780793866,0.2260177257648868,0.4901762008666992,0.8729932308197021,ok,
Mobile_Price_Classification,1600,400,20,4.0,0.93,0.9299048962047641,0.15891175506795047,0.43522000312805176,0.7058217525482178,ok,
National_Health_and_Nutrition_Health_Survey,1822,456,7,2.0,0.831140350877193,0.7829148262823291,0.38068664484208814,0.5205399990081787,0.6146285533905029,ok,
PhishingWebsites,8844,2211,30,2.0,0.9778380823156942,0.9778144735977905,0.052737838963753676,0.508342981338501,4.647205114364624,ok,
PizzaCutter3,834,209,37,2.0,0.8803827751196173,0.8243787817913973,0.24890081466740083,0.44069337844848633,0.587167501449585,ok,
QSAR_biodegradation,843,211,41,2.0,0.8815165876777251,0.8781749648628048,0.2886736211850562,0.44127345085144043,0.6165544986724854,ok,
SDSS17,80000,20000,12,3.0,0.97195,0.9718113586662843,0.0895718421488435,0.8215389251708984,109.23265790939331,ok,
Satellite,4080,1020,36,2.0,0.9921568627450981,0.9907463841469554,0.023821691974250988,0.4870579242706299,2.1951229572296143,ok,
Smoking_and_Drinking_Dataset_with_body_signal,793076,198270,23,2.0,0.7389166288394613,0.738890545516502,,10.180200815200806,9839.412167072296,ok,
